route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
TR,SATURDAY,TR_SATURDAY_0_185,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_186,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_187,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_188,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_189,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_190,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_191,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_192,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_193,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_194,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_195,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_196,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_197,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_198,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_199,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_200,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_201,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_202,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_203,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_204,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_205,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_206,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_207,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_208,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_209,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_210,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_211,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_212,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_213,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_214,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_215,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_216,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_217,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_218,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_219,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_220,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_221,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_222,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_223,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_224,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_225,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_226,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_227,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_228,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_229,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_230,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_231,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_232,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_233,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_234,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_235,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_236,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_237,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_0_238,LA CASILLA,0,TR_SHAPE_8753520
TR,SATURDAY,TR_SATURDAY_1_239,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_240,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_241,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_242,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_243,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_244,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_245,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_246,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_247,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_248,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_249,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_250,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_251,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_252,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_253,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_254,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_255,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_256,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_257,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_258,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_259,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_260,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_261,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_262,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_263,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_264,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_265,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_266,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_267,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_268,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_269,BOLUETA,1,TR_SHAPE_8753521
TR,SATURDAY,TR_SATURDAY_1_270,BOLUETA,1,TR_SHAPE_8753521
