stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding
175,4105,MAKUA,,43.256886949548573,-2.9120546746655624,1,0,1
156,4106,MASUSTEGI fte. 21,,43.257456698285679,-2.9134899966228875,1,0,1
157,4107,MASUSTEGI 21,,43.257274844509446,-2.9136665001262312,1,0,1
159,4108,MASUSTEGI 3,,43.256003259123432,-2.9131508308724592,1,0,1
57,4109,ZUMALACARREGUI 38,,43.260795204881788,-2.9148660649392739,1,0,1
227,4201,ANTONIO EGUILUZ 19,,43.250694751049387,-2.9118957310360383,1,0,1
218,4202,CIRCO AMATEUR / POLIDEPORTIVO,,43.249584680323913,-2.9084859425141447,1,0,1
224,4203,ENRIQUE IBARRETA 2,,43.254474076025318,-2.9108061354830816,1,0,1
171,4204,INDALECIO PRIETO fte. 12,,43.250011620349923,-2.9175309621195438,1,0,1
170,4205,INDALECIO PRIETO 1,,43.248904055790639,-2.91938976494118,1,0,1
172,4206,INDALECIO PRIETO 16,,43.250014083221124,-2.91690308575392,1,0,1
225,4208,ITURRIAGA 58 ,,43.251668191830944,-2.9106395873005795,1,0,1
223,4209,SANTA CLARA fte. 12,,43.255009249119347,-2.9119869303044861,1,0,1
229,4210,SANTUTXU fte.45,,43.251019168438383,-2.9147740093544479,1,0,1
231,4211,SANTUTXU 18,,43.253102204017658,-2.9156515850765548,1,0,1
160,4212,SANTUTXU 2,,43.254640568386428,-2.916965628977723,1,0,1
230,4213,SANTUTXU 48,,43.251738772777578,-2.9146946319977345,1,0,1
4457,4217,INDALECIO PRIETO / JM LIDÓN,,43.249055156829975,-2.9188585730494454,1,0,1
490,4301,BILBAO-GALDAKAO 12,,43.248013016615289,-2.9068752161367124,1,0,1
219,4302,CIRCO AMATEUR / fte. POLIDEPORTIVO,,43.249915506228923,-2.908656231963366,1,0,1
217,4303,CIRCO AMATEUR / BOLUETA,,43.248690548903582,-2.906980630577868,1,0,1
228,4305,SAGARMINAGA 32,,43.249057729581068,-2.9136125329070244,1,0,1
792,4306,CAMINO DEL PONTÓN / fte. IKASTOLA ,,43.244219087653683,-2.917422311555621,1,0,1
791,4307,CAMINO DEL PONTÓN / IKASTOLA ,,43.244238600400763,-2.9174740836145778,1,0,1
794,4308,CAMINO DEL PONTÓN 5,,43.246427116173187,-2.909593813479789,1,0,1
793,4309,CAMINO DEL PONTÓN fte.3,,43.246523495350694,-2.9093404745943503,1,0,1
515,4310,AVENIDA MIRAFLORES / fte. GASOLINERA ,,43.246846375174847,-2.9113856763355552,1,0,1
517,4311,AVENIDA MIRAFLORES / GASOLINERA,,43.246801477762624,-2.911809783777124,1,0,1
1075,4312,PINTOR LOSADA 26,,43.24847013216111,-2.9126211039716341,1,0,1
138,5101,ARENAL / fte. SAN NICOLÁS,,43.260431181508785,-2.9229886175669648,1,0,1
140,5102,ARENAL / ARRIAGA,,43.25958209288364,-2.9240903260269047,1,0,1
19,5103,ERNESTO ERKOREKA 8,,43.264119114130374,-2.9226424404886737,1,0,1
56,5104,PÁRROCO UGAZ / ROTONDA,,43.2614377801749,-2.9159225765796224,1,0,1
139,5105,PUENTE DEL ARENAL,,43.259806731946981,-2.9241489623538683,1,0,1
232,5106,MERCADO DE LA RIBERA,,43.256609433333395,-2.9257696042597079,1,0,1
141,5107,SAN NICOLÁS 4,,43.259850468404558,-2.9223630863755861,1,0,1
136,5108,SENDEJA fte. 5 ,,43.262864971766732,-2.9231041802328779,1,0,1
142,5109,UNAMUNO,,43.258191802003346,-2.9216252062474988,1,0,1
137,5110,VIUDA DE EPALZA 1 / SAN NICOLÁS,,43.260440307418484,-2.922807807461238,1,0,1
34,5111,ZUMALACARREGUI / fte. TOMÁS ZUBIRÍA,,43.26476991483009,-2.9184661987104028,1,0,1
148,5201,AMADEO DEPRIT 1,,43.25777915383776,-2.9168871419639815,1,0,1
143,5202,FIKA 2,,43.257647662786674,-2.9186809310261759,1,0,1
152,5203,ITURRIBIDE 53,,43.256895187775768,-2.91702717079,1,0,1
144,5204,PRIM 22 Bis,,43.257621659949777,-2.91769492408913,1,0,1
145,5205,PRIM 36,,43.256747708956958,-2.9161554032716617,1,0,1
146,5206,PRIM 52,,43.2562805528251,-2.914488532797388,1,0,1
147,5207,PRIM 60,,43.257145362532818,-2.9144987015013037,1,0,1
154,5301,FIKA 18,,43.257109750612457,-2.9192614807966462,1,0,1
155,5302,FIKA 22,,43.256135970907913,-2.9193674966511622,1,0,1
153,5303,FIKA 8,,43.256965525589536,-2.9186180621165652,1,0,1
161,5304,ZABALBIDE fte.32,,43.255274816300691,-2.9194327115985419,1,0,1
158,5305,ZABALBIDE 41,,43.254673337476461,-2.914992515959089,1,0,1
162,5306,ZABALBIDE 7,,43.255900020400922,-2.9218075040437839,1,0,1
167,5401,ATXURI fte.15 ,,43.253627528339884,-2.9213825092148391,1,0,1
169,5402,ATXURI fte. 49,,43.251484441600368,-2.9215128703458997,1,0,1
166,5403,ATXURI 15,,43.253616074988471,-2.9213266840800647,1,0,1
168,5404,ATXURI 49,,43.251550982262707,-2.9214671031757824,1,0,1
163,5405,DIECISÉIS DE AGOSTO,,43.255048879427015,-2.9226102900259558,1,0,1
165,5406,PLAZUELA SANTOS JUANES 4,,43.25499955633979,-2.9221523580410738,1,0,1
164,5407,PLAZUELA SANTOS JUANES 7,,43.255117703955449,-2.9221338794143237,1,0,1
251,5501,ABUSU / IBAIALDE,,43.2419838357701,-2.9236873528214957,1,0,1
253,5502,ABUSU / IBAIEDER,,43.241497483800309,-2.9213233733997104,1,0,1
249,5503,ABUSU / IBAIZABAL,,43.243148223358311,-2.9249605280308248,1,0,1
255,5504,BUIA / fte. BOLINTXUBIDE,,43.232802905261487,-2.9145201311315403,1,0,1
256,5505,BUIA / BOLINTXUBIDEA,,43.232668663897357,-2.9145866843410073,1,0,1
564,5506,BARRIO BUIA fte. 153,,43.226396410459387,-2.913924338755244,1,0,1
563,5507,BUIA AUZOA 153,,43.226432756312633,-2.9140086133392238,1,0,1
565,5508,BUIABEKOA ,,43.227146883805226,-2.9167161673988349,1,0,1
342,5509,LARRASKITUBIDEA / fte. ESTRADA BEITI,,43.241979259816389,-2.9346968457245395,1,0,1
344,5510,LARRASKITUBIDEA 81,,43.242918253031867,-2.9380982348672333,1,0,1
487,5511,OLLARGAN,,43.239459170585526,-2.9181860423188231,1,0,1
257,5512,SAN ADRIÁN fte. 48,,43.243351479813768,-2.9318111340996418,1,0,1
244,5513,URAZURRUTIA,,43.249018293800241,-2.921513114814732,1,0,1
247,5514,ZAMACOLA fte. 84,,43.244891551071127,-2.9243359034831413,1,0,1
248,5515,ZAMACOLA / ESCUELA,,43.244861096340372,-2.9249801444137824,1,0,1
250,5516,ZAMACOLA 116,,43.24246939777241,-2.9256486538109137,1,0,1
252,5517,ZAMACOLA 150,,43.241261977802488,-2.9235697707777475,1,0,1
254,5518,ZAMACOLA 168,,43.240996978125715,-2.9215172348992655,1,0,1
243,5519,ZAMACOLA 26,,43.249525460456759,-2.9218606289166336,1,0,1
242,5520,ZAMACOLA 4,,43.251079362848763,-2.9229630947422103,1,0,1
245,5521,ZAMACOLA 39,,43.246120134887768,-2.92176653749161,1,0,1
246,5522,ZAMACOLA 70,,43.245739629756756,-2.9225822458206014,1,0,1
238,5601,OLANO fte.4,,43.2541365693636,-2.9251761705136863,1,0,1
239,5602,URAZURRUTIA / SALA CUNA,,43.2540248152168,-2.9232184310581926,1,0,1
240,5603,URAZURRUTIA 14,,43.253744487790343,-2.9231266464480288,1,0,1
241,5604,URAZURRUTIA 40,,43.252398444408776,-2.9231045957550128,1,0,1
